cca,size,total_time
1,21,15.2910914360
1,21,14.6144424130
1,21,14.6067990060
1,20,13.4562759080
1,20,13.4471523560
1,20,13.4247670680
1,20,7.0304663660
1,20,13.5218362230
1,20,13.4990215400
1,20,13.6751349770
1,20,13.4749447670
1,20,13.4350545310
1,20,13.4055081480
1,20,13.6406415920
1,20,13.3988526260
1,19,12.2746164870
1,19,12.2998890850
1,19,12.3414497120
1,19,12.3058555620
1,19,12.3021695660
1,19,12.3444589060
1,19,12.3837835790
1,19,12.3285824750
1,19,12.3069713820
1,19,12.2737584270
1,19,12.4025304750
1,19,12.2789058600
1,19,12.3222694310
1,19,12.4551426740
1,19,12.3754499070
1,19,12.3811318860
1,19,12.1954294580
1,19,12.2800565580
1,19,12.4043925500
1,19,12.1684658800
1,19,12.1938949420
1,19,12.1961171580
1,19,12.1929012510
1,19,12.1748123160
1,19,12.2843465210
